code,total_medals,participants,participants%,country
USA,126,619,0.055715571557155716,UNITED STATES
CHN,90,398,0.03582358235823582,PEOPLE'S REPUBLIC OF CHINA
JPN,45,431,0.038793879387938796,JAPAN
AUS,53,475,0.04275427542754275,AUSTRALIA
FRA,64,600,0.054005400540054004,FRANCE
NED,34,289,0.026012601260126014,NETHERLANDS
GBR,64,342,0.030783078307830784,GREAT BRITAIN
KOR,32,147,0.013231323132313231,REPUBLIC OF KOREA
ITA,38,397,0.035733573357335735,ITALY
GER,32,457,0.041134113411341135,GERMANY
NZL,20,208,0.01872187218721872,NEW ZEALAND
CAN,27,332,0.029882988298829884,CANADA
UZB,13,88,0.007920792079207921,UZBEKISTAN
HUN,19,177,0.015931593159315933,HUNGARY
ESP,18,401,0.03609360936093609,SPAIN
SWE,11,125,0.011251125112511251,SWEDEN
KEN,11,74,0.00666066606660666,KENYA
NOR,8,109,0.009810981098109812,NORWAY
IRL,7,143,0.01287128712871287,IRELAND
BRA,20,290,0.026102610261026102,BRAZIL
IRI,12,41,0.0036903690369036904,ISLAMIC REPUBLIC OF IRAN
UKR,12,141,0.012691269126912692,UKRAINE
ROU,9,96,0.00864086408640864,ROMANIA
GEO,7,28,0.0025202520252025204,GEORGIA
SRB,5,114,0.010261026102610262,SERBIA
BUL,6,46,0.004140414041404141,BULGARIA
CZE,5,111,0.00999099909990999,CZECHIA
DEN,9,131,0.011791179117911792,DENMARK
AZE,7,48,0.00432043204320432,AZERBAIJAN
CRO,7,73,0.006570657065706571,CROATIA
CUB,9,61,0.005490549054905491,CUBA
BEL,8,177,0.015931593159315933,BELGIUM
BRN,4,14,0.0012601260126012602,BAHRAIN
SLO,3,95,0.008550855085508551,SLOVENIA
TPE,7,60,0.0054005400540054005,CHINESE TAIPEI
AUT,5,84,0.007560756075607561,AUSTRIA
HKG,4,34,0.0030603060306030605,"HONG KONG, CHINA"
PHI,4,22,0.0019801980198019802,PHILIPPINES
ALG,3,46,0.004140414041404141,ALGERIA
INA,2,29,0.00261026102610261,INDONESIA
POL,10,226,0.02034203420342034,POLAND
ISR,6,89,0.00801080108010801,ISRAEL
KAZ,7,79,0.007110711071107111,KAZAKHSTAN
JAM,6,65,0.0058505850585058505,JAMAICA
RSA,6,141,0.012691269126912692,SOUTH AFRICA
THA,6,52,0.00468046804680468,THAILAND
AIN,5,32,0.00288028802880288,INDIVIDUAL NEUTRAL ATHLETES
ETH,4,33,0.0029702970297029703,ETHIOPIA
SUI,8,137,0.012331233123312331,SWITZERLAND
ECU,5,40,0.0036003600360036,ECUADOR
POR,4,75,0.0067506750675067504,PORTUGAL
GRE,8,100,0.009000900090009001,GREECE
ARG,3,143,0.01287128712871287,ARGENTINA
EGY,3,157,0.014131413141314131,EGYPT
TUN,3,26,0.00234023402340234,TUNISIA
BOT,2,14,0.0012601260126012602,BOTSWANA
CHI,2,48,0.00432043204320432,CHILE
LCA,2,4,0.00036003600360036,SAINT LUCIA
UGA,2,25,0.0022502250225022503,UGANDA
DOM,3,59,0.00531053105310531,DOMINICAN REPUBLIC
GUA,2,16,0.00144014401440144,GUATEMALA
MAR,2,61,0.005490549054905491,MOROCCO
DMA,1,4,0.00036003600360036,DOMINICA
PAK,1,7,0.0006300630063006301,PAKISTAN
TUR,8,101,0.00909090909090909,TURKEY
MEX,5,108,0.00972097209720972,MEXICO
ARM,4,15,0.0013501350135013501,ARMENIA
COL,4,88,0.007920792079207921,COLOMBIA
KGZ,6,16,0.00144014401440144,KYRGYZSTAN
PRK,6,14,0.0012601260126012602,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
LTU,4,51,0.004590459045904591,LITHUANIA
IND,6,112,0.010081008100810081,INDIA
MDA,4,26,0.00234023402340234,REPUBLIC OF MOLDOVA
KOS,2,9,0.0008100810081008101,KOSOVO
CYP,1,15,0.0013501350135013501,CYPRUS
FIJ,1,36,0.0032403240324032404,FIJI
JOR,1,12,0.00108010801080108,JORDAN
MGL,1,32,0.00288028802880288,MONGOLIA
PAN,1,8,0.00072007200720072,PANAMA
TJK,3,14,0.0012601260126012602,TAJIKISTAN
ALB,2,8,0.00072007200720072,ALBANIA
GRN,2,6,0.00054005400540054,GRENADA
MAS,2,26,0.00234023402340234,MALAYSIA
PUR,2,51,0.004590459045904591,PUERTO RICO
CIV,1,13,0.00117011701170117,CÃ”TE D'IVOIRE
CPV,1,7,0.0006300630063006301,CABO VERDE
EOR,1,37,0.00333033303330333,REFUGEE OLYMPIC TEAM
PER,1,26,0.00234023402340234,PERU
QAT,1,13,0.00117011701170117,QATAR
SGP,1,23,0.0020702070207020704,SINGAPORE
SVK,1,28,0.0025202520252025204,SLOVAKIA
ZAM,1,31,0.0027902790279027904,ZAMBIA
