X.1,% Football,% Baseball,% Basketball,% Soccer
Dec 1 2023,41,10,9,5
Dec 4 2017,37,9,11,7
Jun 1 2013,39,14,12,4
Dec 4 2008,41,10,9,3
Dec 6 2007,43,13,11,2
Dec 11 2006,43,11,12,2
Dec 5 2005,34,12,12,3
Dec 5 2004,37,10,13,2
Dec 11 2003,37,10,14,2
Dec 5 2002,37,12,13,2
Mar 26 2001,28,12,16,2
Mar 30 2000,33,13,15,2
Nov 20 1998,36,16,12,2
Apr 18 1997,30,14,17,2
Apr 17 1995,32,16,15,1
Sep 16 1994,37,16,13,2
Aug 8 1994,35,21,11,2
Sep 1 1992,38,16,12,1
Feb 1 1990,35,16,15,1
Jan 1 1981,38,16,9,2
Oct 1 1972,32,24,9,0
Jan 1 1972,38,19,10,0
Dec 1 1960,21,34,9,0
Apr 9 1948,17,39,10,0
Mar 24 1937,23,34,8,0